,review_comment_message,is_good_review
260,"Até agora não recebi nada, a colcha estava prevista para anteontem(18/12) e até agora nada",0
261,"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado ",0
262,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,1
263,Indico a loja compro sempre na lannister .,1
264,"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",0
265,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",1
266,Boa compra.,1
267,"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",1
268,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,1
269,Comprei 02 só enviaram 01,0
270,"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",0
271,"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",0
272,Entrega e produto perfeito!,1
273,Parabéns 😤 pelo excelente atendimento de qualidade.,1
274,Produto entregue antecipadamente.,1
275,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,1
276,"Super recomendo, stark Sempre chegando antes da dta prevista =D",1
277,Correios não entregou ,1
278,"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",1
279,ainda não recebi o produto,0
280,"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",0
281,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",1
282,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",0
283,O pedido chegou antes do prazo. Obrigada.,1
284,Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. ,0
285,"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",1
286,O tampo da mesa chegou todo amassado e batido.,0
287,Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,0
288,O relógio é lindo e a entrega foi muito rápida. Recomendo!,1
289,"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",1
290,"Como sempre, excelente serviço.",1
291,Até o momento eu n recebir o produto,0
292,Como sempre lannister entrega certinho,1
293,"Produto perfeito, chegou antes do prazo!",1
294,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",1
295,Muito bom o produto e preço cobrado!,0
296,Sdds ,1
297,muito bom o produto.Recomendo,1
298,entrega dentro do prazo isso é importante. ,1
299,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",1
300,"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital.",0
301,O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,0
302,No aguardo de um retorno urgente.,0
303,"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",0
304,Só recebi um produto. Consta que já recebi os dois. Não recebi a sapateira. ,0
305,Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo ,0
306,Excelente produto indico a qualquer pessoa.,0
307,tudo certinho entrega no prazo ótimo.,1
308,Não recebi o produto.e agora?,0
309,Chegou amassado... ,0
310,Recomendo!,1
311,"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",0
312,Ótimo perfume. Fragrância maravilhosa. Recomendo,1
313,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,1
314,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,1
315,entrega rapida,1
316,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",1
317,"Cortina de plástico, na foto parece tecido desenho diferente cores morta apagadas, uma verdadeira porcaria, não recomendo ninguém compra decepção total ",0
318,SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,0
319,Loja em si é boa pena a americana nao da suporte ao cliente ,1
320,Exatamente o que eu precisava ,1
321,"Achei a qualidade do produto muito ruim, não veio nenhuma bucha ou parafuso para fixar na parede.",0
322,"Obrigada, chegou mto rápido",1
323,O único problema é que a marcação de data é a marcação americana.,1
324,Acho que o produto deveria ter um prazo de validade maior.,1
325,"Entrega antes do prazo, recomendo essa loja.",1
326,show ,1
327,Boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada ,0
328,"Excelente produto, bonito e sofisticado.",1
329,Não veio a nota fiscal,1
330,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",1
331,Entrega rápida produto conforme anunciado,1
332,"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",0
333,A cortina não é o modelo que pedi. |,0
334,A impressão está saindo com a tinta fraquinha...,0
335,Comprei Rosa com Braços Brancos e entregam toda Preta ?,0
336,Preciso de uma previsão.,0
337,Estou muito satisfeita chegou antes do prazo super recomendo ,1
338,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,1
339,"Entrega dentro do prazo, produto sem nenhum problema",1
340,bom,1
341,Boa qualidade e preço.,1
342,Sempre entrega antes do prazo.,1
343,muito bom.super recomendo.entrega sempre certa.,1
344,"Boas Pessoal, a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar ??? O que será que aconteceu ???",0
345,Entregue antes do prazo! Produto perfeito!,1
346,"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos.",1
347,Gostei de ter comprado nesta loja. Atendimento perfeito.,1
348,"Comprei uma cadeira, recebi no prazo, porém a cadeira veio quebrada na parte inferior. Poderiam ter um maior cuidado na embalagem.",0
349,Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,1
350,ENTREGA MUITO RAPIDA ,1
351,O produto foi entregue bem antes do prazo.adorei,1
352,Ainda nao instalei mais gostei muito,1
353,Bom produto. Entrega rápida. Recomendo,1
354,Produto recebido no prazo e em perfeitas condições.,1
355,muito bom,1
356,"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",0
357,"ótima compra
mas o frete nao compensa,pesa no orçamento.
devia ter frete grates
",0
358,N/a,1
359,"O produto chegou como eu imaginava,por enquanto estou gostando
",1
360,Ótima rápida na entrega OBRIGADO ,1
361,Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue ,0
362,"Produto bom, prazo bom...",1
363,Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum ,1
364,Bonito e de boa qualidade. Adorei ,1
365,O produto chegou antes do prazo. ,1
366,"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
",0
367,Vendedor compromisso do vou o cliente,1
368,"O produto não atendeu minhas espectativas, pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem",0
369,Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. ,1
370,ótimo,1
371,Tudo cento e no prazo recomento,1
372,Não recebi o jogo na cor tabaco. Só o vermelho. ,0
373,"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",0
374,Compra perfeita. ,1
375,O produto veio estragado,0
376,"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
",0
377,PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,0
378,"Recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas. ",0
379,Estou extremamente decepcionado. Isso nunca havia acontecido,0
380,COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?,0
381,"Recomendo esta loja entrega direitinho
",1
382,"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais.",1
383,Entrega rapida e correta,1
384,Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.,1
385,Produto veio com amassados e também não está funcionando corretamente.,0
386,Gostei do produto,1
387,Produto de ótima qualidade,1
388,Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. ,0
389,Estou aguardando posição da empresa para fazer a devolução do produto.,0
390,"O CEP foi escrito errado, tive que retirar o produto nos Correios da cidade vizinha.",0
391,fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.,0
392,Recomendo está loja.,1
393,Ótimo produto. ,1
394,Excelente,1
395,"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado.",1
396,"Adorei. Moderno, bonito, meu cantinho do café vai ficar top",1
397,"bom , foi o que esperava.",1
398,"Tudo correu como combinado, nada a reclamar.",1
